tree_id,voxel_size,voxel_index,z,y,x,world_x,world_y,world_z
tree_1_V_0001,0.02,107582,5,75,82,1.6500000000000001,1.51,0.11
tree_1_V_0009,0.02,90703,4,107,3,0.07,2.15,0.09
tree_1_V_0011,0.02,106181,5,61,81,1.6300000000000001,1.23,0.11
tree_1_V_0012,0.02,100085,5,0,85,1.71,0.01,0.11
tree_1_V_0017,0.02,144782,7,47,82,1.6500000000000001,0.9500000000000001,0.15
tree_1_V_0018,0.02,93954,4,139,54,1.09,2.79,0.09
tree_1_V_0019,0.02,125353,6,53,53,1.07,1.07,0.13
tree_1_V_0022,0.02,155252,7,152,52,1.05,3.0500000000000003,0.15
tree_1_V_0023,0.02,92412,4,124,12,0.25,2.49,0.09
tree_1_V_0026,0.02,263876,13,38,76,1.53,0.77,0.27
tree_1_V_0027,0.02,144286,7,42,86,1.73,0.85,0.15
tree_1_V_0028,0.02,148032,7,80,32,0.65,1.61,0.15
tree_1_V_0029,0.02,119474,5,194,74,1.49,3.89,0.11
tree_1_V_0030,0.02,128593,6,85,93,1.87,1.71,0.13
tree_1_V_0031,0.02,123312,6,33,12,0.25,0.67,0.13
tree_1_V_0032,0.02,145028,7,50,28,0.5700000000000001,1.01,0.15
tree_1_V_0034,0.02,135538,6,155,38,0.77,3.11,0.13
tree_1_V_0035,0.02,171921,8,119,21,0.43,2.39,0.17
tree_1_V_0038,0.02,161117,8,11,17,0.35000000000000003,0.23,0.17
tree_1_V_0039,0.02,127712,6,77,12,0.25,1.55,0.13
tree_1_V_0041,0.02,141027,7,10,27,0.55,0.21,0.15
tree_1_V_0042,0.02,147588,7,75,88,1.77,1.51,0.15
tree_1_V_0044,0.02,197655,9,176,55,1.11,3.5300000000000002,0.19
tree_1_V_0047,0.02,186005,9,60,5,0.11,1.21,0.19
tree_1_V_0049,0.02,179741,8,197,41,0.8300000000000001,3.95,0.17
tree_1_V_0051,0.02,136492,6,164,92,1.85,3.29,0.13
tree_1_V_0053,0.02,103836,5,38,36,0.73,0.77,0.11
tree_1_V_0054,0.02,195567,9,155,67,1.35,3.11,0.19
tree_1_V_0058,0.02,128179,6,81,79,1.59,1.6300000000000001,0.13
tree_1_V_0059,0.02,112429,5,124,29,0.59,2.49,0.11
tree_1_V_0060,0.02,131305,6,113,5,0.11,2.27,0.13
tree_1_V_0062,0.02,127390,6,73,90,1.81,1.47,0.13
tree_1_V_0064,0.02,127777,6,77,77,1.55,1.55,0.13
tree_1_V_0065,0.02,217282,10,172,82,1.6500000000000001,3.45,0.21
tree_1_V_0066,0.02,130629,6,106,29,0.59,2.13,0.13
tree_1_V_0067,0.02,126672,6,66,72,1.45,1.33,0.13
tree_1_V_0068,0.02,176097,8,160,97,1.95,3.21,0.17
tree_1_V_0069,0.02,150031,7,100,31,0.63,2.0100000000000002,0.15
tree_1_V_0072,0.02,113466,5,134,66,1.33,2.69,0.11
tree_1_V_0074,0.02,148468,7,84,68,1.37,1.69,0.15
tree_1_V_0075,0.02,271753,13,117,53,1.07,2.35,0.27
tree_1_V_0080,0.02,161929,8,19,29,0.59,0.39,0.17
tree_1_V_0083,0.02,160225,8,2,25,0.51,0.05,0.17
tree_1_V_0084,0.02,209246,10,92,46,0.93,1.85,0.21
tree_1_V_0087,0.02,137990,6,179,90,1.81,3.59,0.13
tree_1_V_0089,0.02,173014,8,130,14,0.29,2.61,0.17
