tree_id,voxel_size,voxel_index
tree_1_V_0001,0.02,107582
tree_1_V_0009,0.02,90703
tree_1_V_0011,0.02,106181
tree_1_V_0012,0.02,100085
tree_1_V_0017,0.02,144782
tree_1_V_0018,0.02,93954
tree_1_V_0019,0.02,125353
tree_1_V_0022,0.02,155252
tree_1_V_0023,0.02,92412
tree_1_V_0026,0.02,263876
tree_1_V_0027,0.02,144286
tree_1_V_0028,0.02,148032
tree_1_V_0029,0.02,119474
tree_1_V_0030,0.02,128593
tree_1_V_0031,0.02,123312
tree_1_V_0032,0.02,145028
tree_1_V_0034,0.02,135538
tree_1_V_0035,0.02,171921
tree_1_V_0038,0.02,161117
tree_1_V_0039,0.02,127712
tree_1_V_0041,0.02,141027
tree_1_V_0042,0.02,147588
tree_1_V_0044,0.02,197655
tree_1_V_0047,0.02,186005
tree_1_V_0049,0.02,179741
tree_1_V_0051,0.02,136492
tree_1_V_0053,0.02,103836
tree_1_V_0054,0.02,195567
tree_1_V_0058,0.02,128179
tree_1_V_0059,0.02,112429
tree_1_V_0060,0.02,131305
tree_1_V_0062,0.02,127390
tree_1_V_0064,0.02,127777
tree_1_V_0065,0.02,217282
tree_1_V_0066,0.02,130629
tree_1_V_0067,0.02,126672
tree_1_V_0068,0.02,176097
tree_1_V_0069,0.02,150031
tree_1_V_0072,0.02,113466
tree_1_V_0074,0.02,148468
tree_1_V_0075,0.02,271753
tree_1_V_0080,0.02,161929
tree_1_V_0083,0.02,160225
tree_1_V_0084,0.02,209246
tree_1_V_0087,0.02,137990
tree_1_V_0089,0.02,173014
tree_1_V_0090,0.02,165304
tree_1_V_0093,0.02,196298
tree_1_V_0097,0.02,207802
tree_1_V_0098,0.02,204304
tree_1_V_0101,0.02,120764
tree_1_V_0107,0.02,174098
tree_1_V_0108,0.02,188458
tree_1_V_0113,0.02,179463
tree_1_V_0114,0.02,109218
tree_1_V_0117,0.02,178183
tree_1_V_0119,0.02,189747
tree_1_V_0121,0.02,145202
tree_1_V_0122,0.02,189636
tree_1_V_0123,0.02,151646
tree_1_V_0124,0.02,187367
tree_1_V_0125,0.02,167985
tree_1_V_0126,0.02,201145
tree_1_V_0127,0.02,103332
tree_1_V_0128,0.02,173708
tree_1_V_0132,0.02,139472
tree_1_V_0134,0.02,204770
tree_1_V_0137,0.02,155005
tree_1_V_0138,0.02,121443
tree_1_V_0139,0.02,110904
tree_1_V_0140,0.02,151579
tree_1_V_0141,0.02,219889
tree_1_V_0142,0.02,162169
tree_1_V_0143,0.02,186568
tree_1_V_0144,0.02,162272
tree_1_V_0145,0.02,198916
tree_1_V_0146,0.02,135770
tree_1_V_0148,0.02,149918
tree_1_V_0149,0.02,113643
tree_1_V_0150,0.02,143306
tree_1_V_0154,0.02,176946
tree_1_V_0155,0.02,231510
tree_1_V_0156,0.02,193221
tree_1_V_0157,0.02,148932
tree_1_V_0158,0.02,136652
tree_1_V_0160,0.02,256885
tree_1_V_0161,0.02,189134
tree_1_V_0162,0.02,186148
tree_1_V_0164,0.02,201830
tree_1_V_0166,0.02,243628
tree_1_V_0167,0.02,157446
tree_1_V_0168,0.02,175980
tree_1_V_0169,0.02,142271
tree_1_V_0170,0.02,165309
tree_1_V_0171,0.02,181864
tree_1_V_0173,0.02,175506
tree_1_V_0174,0.02,198570
tree_1_V_0177,0.02,241933
tree_1_V_0180,0.02,166232
tree_1_V_0181,0.02,220645
tree_1_V_0182,0.02,151498
